  Test Start Time: Wed Aug 23 16:29:44 2017
-----------------------------------------
Testcase                       Result     Exit Value
pipe2_02                       PASS       0    
poll01                         PASS       0    
poll02                         PASS       0    
ppoll01                        PASS       0    
prctl01                        PASS       0    
prctl02                        PASS       0    
pread01                        PASS       0    
pread01_64                     PASS       0    
pread02                        PASS       0    
pread02_64                     PASS       0    
pread03                        PASS       0    
pread03_64                     PASS       0    
preadv01                       PASS       0    
preadv01_64                    PASS       0    
preadv02                       PASS       0    
preadv02_64                    PASS       0    
profil01                       FAIL       2    
process_vm_readv01             PASS       0    
process_vm_readv02             PASS       0    
process_vm_readv03             PASS       0    
process_vm_writev01            PASS       0    
process_vm_writev02            PASS       0    
prot_hsymlinks                 FAIL       6    
pselect01                      PASS       0    
pselect01_64                   PASS       0    
pselect02                      PASS       0    
pselect02_64                   PASS       0    
ptrace01                       PASS       0    
ptrace02                       PASS       0    
ptrace03                       CONF       32   
ptrace04                       CONF       32   
ptrace05                       PASS       0    
pwrite01                       PASS       0    
pwrite02                       PASS       0    
pwrite04                       PASS       0    
pwrite01_64                    PASS       0    
pwrite02_64                    PASS       0    
pwrite04_64                    PASS       0    
pwritev01                      PASS       0    
pwritev01_64                   PASS       0    
pwritev02                      PASS       0    
pwritev02_64                   PASS       0    
quotactl01                     CONF       32   
quotactl02                     CONF       32   
read01                         PASS       0    
read02                         PASS       0    
read03                         PASS       0    
read04                         PASS       0    
readahead01                    CONF       32   
readahead02                    CONF       32   
readdir01                      PASS       0    
readdir02                      PASS       0    
readdir21                      CONF       32   
readlink01A                    PASS       0    
readlink01                     PASS       0    
readlink02                     PASS       0    
readlink03                     PASS       0    
readlink04                     PASS       0    
readlinkat01                   PASS       0    
readlinkat02                   PASS       0    
readv01                        PASS       0    
readv02                        PASS       0    
readv03                        PASS       0    
reboot01                       PASS       0    
reboot02                       PASS       0    
recv01                         FAIL       1    
recvfrom01                     FAIL       1    
recvmsg01                      FAIL       1    
recvmsg02                      PASS       0    
remap_file_pages01             FAIL       7    
